,bird_en,bird_ru,desc_en,desc_ru,place_ru,place_en,size_ru,size_en
255,GREATOR SAGE GROUSE,Шалфейный тетерев,"The greater sage-grouse (Centrocercus urophasianus), also known as the sagehen, is the largest grouse (a type of bird) in North America. Its range is sagebrush country in the western United States and southern Alberta and Saskatchewan, Canada. It was known as simply the sage grouse until the Gunnison sage-grouse was recognized as a separate species in 2000. The Mono Basin population of sage grouse may also be distinct.

The greater sage-grouse is a permanent resident in its breeding grounds but may move short distances to lower elevations during winter. It makes use of a complex lek system in mating and nests on the ground under sagebrush or grass patches. It forages on the ground, mainly eating sagebrush but also other plants and insects. Greater sage-grouse do not have a muscular crop and are not able to digest hard seeds like other grouse.

The species is in decline across its range due to habitat loss, and has been recognized as threatened or near threatened by several national and international organizations.",Шалфейный тетерев (лат. Centrocercus urophasianus) — североамериканская птица семейства фазановых (Phasianidae).,,,,
256,GREEN BROADBILL,Малый зелёный рогоклюв,"The green broadbill (Calyptomena viridis) also known as the lesser green broadbill is a small bird in the family Calyptomenidae. It was formerly classified in the family Eurylaimidae, a group of closely related birds that share the name ""broadbill"".",Малый зелёный рогоклюв или зелёная калиптомена (лат. Calyptomena viridis) — южно-азиатская певчая птица семейства рогоклювых.,,,,
257,GREEN JAY,Зеленая сойка,"The green jay (Cyanocorax luxuosus) is a species of the New World jays, and is found in Central America. Adults are about 27 cm (11 in) long and variable in colour across their range; they usually have blue and black heads, green wings and mantle, bluish-green tails, black bills, yellow or brown eye rings, and dark legs. The basic diet consists of arthropods, vertebrates, seeds, and fruit. The nest is usually built in a thorny bush; the female incubates the clutch of three to five eggs. This is a common species of jay with a wide range and the International Union for Conservation of Nature has rated its conservation status as being of ""least concern"".","Зеленая сойка ( Cyanocorax luxuosus ) — вид соек Нового Света , обитающий в Центральной Америке. Взрослые особи имеют длину около 27 см (11 дюймов) и различаются по цвету в зависимости от их ареала; у них обычно синяя и черная голова, зеленые крылья и мантия, голубовато-зеленые хвосты, черные клювы, желтые или коричневые кольца вокруг глаз и темные ноги. Основной рацион состоит из членистоногих, позвоночных, семян и фруктов. Гнездо обычно строят в колючем кустарнике; самка насиживает кладку из трех-пяти яиц. Это распространенный вид сойки с широким ареалом, и Международный союз охраны природы оценил его охранный статус как «вызывающий наименьшее беспокойство ».",,,,
258,GREEN MAGPIE,Зелёная цисса,"The common green magpie (Cissa chinensis) is a member of the crow family, roughly about the size of the Eurasian jay or slightly smaller. In the wild specimens are usually a bright green colour (often fades to turquoise in captivity or with poor diet as the pigment is carotenoid based), slightly lighter on the underside and has a thick black stripe from the bill (through the eyes) to the nape. Compared to the other members of its genus, the white-tipped tail is quite long. This all contrasts vividly with the red fleshy eye rims, bill and legs. The wings are reddish maroon.

It is found from the lower Himalayas in north eastern India in a broad south easterly band down into central Thailand, Malaysia, Sumatra and northwestern Borneo in evergreen forest (including bamboo forest), clearings and scrub.

This bird seeks food both on the ground and in trees, and takes a very high percentage of animal prey from countless invertebrates, small reptiles, mammals and young birds and eggs. It will also take flesh from a recently killed carcass.

The nest is built in trees, large shrubs and often in tangles of various climbing vines. There are usually 4–6 eggs laid.

The voice is quite varied but often a harsh peep-peep. It also frequently whistles and chatters.","Зелёная цисса (лат. Cissa chinensis) — вид птиц семейства врановых. Встречается в нижних Гималаях, на северо-востоке Индии, в центре Таиланда, в Малайзии, Суматре и в центре Борнео.",,,,
259,GREEN WINGED DOVE,Изумрудный голубь,"The common emerald dove (Chalcophaps indica), also called Asian emerald dove and grey-capped emerald dove, is a widespread resident breeding pigeon native to the tropical and subtropical parts of the Indian Subcontinent and Southeast Asia. The dove is also known by the names of green dove and green-winged pigeon. The common emerald dove is the state bird of the Indian state of Tamil Nadu. The Pacific emerald dove and Stephan's emerald dove were both considered conspecific.",Изумрудный голубь (лат. Chalcophaps indica) — птица семейства голубиных.,,,,
260,GREY CUCKOOSHRIKE,Серая кукушка,"The grey cuckooshrike (Ceblepyris caesius) is a species of bird in the cuckooshrike family Campephagidae. It is a medium-sized forest bird, with grey to blue-grey plumage and large black eyes. There are two subspecies that occur in forest patches of southern and central Africa respectively.","Серая кукушка ( Ceblepyris caesius ) — вид птиц из семейства кукушек Campephagidae . Это лесная птица среднего размера с оперением от серого до голубовато-серого цвета и большими черными глазами. Есть два подвида, которые встречаются в лесных массивах южной и центральной Африки соответственно.",,,,
261,GREY HEADED FISH EAGLE,Сероголовый орел-рыбоед,"The grey-headed fish eagle (Haliaeetus ichthyaetus) is a fish-eating bird of prey from South East Asia. It is a large stocky raptor with adults having dark brown upper body, grey head and lighter underbelly and white legs. Juveniles are paler with darker streaking. It is often confused with the lesser fish eagle (Haliaeetus humilis) and the Pallas's fish eagle. The lesser fish eagle is similar in plumage but smaller and the Pallas's fish eagle shares the same habitat and feeding behaviour but is larger with longer wings and darker underparts. Is often called tank eagle in Sri Lanka due to its fondness for irrigation tanks.","Сероголовый орел-рыбоед ( Haliaeetus ichthyaetus ) — хищная птица, питающаяся рыбой, из Юго-Восточной Азии.  Это крупный коренастый хищник, у взрослых особей темно-коричневая верхняя часть тела, серая голова, более светлый низ живота и белые ноги.  Молодые особи бледнее с более темными полосами. Его часто путают с малым рыбным орлом ( Haliaeetus humilis ) и орлом-долгоносиком . Малый орел-рыба похож по оперению, но меньше, а орел-рыба-долгожитель имеет ту же среду обитания и поведение при кормлении, но крупнее, с более длинными крыльями и более темным низом. На Шри-Ланке его часто называют танковым орлом из-за его любви к ирригационным резервуарам. ",,,,
262,GREY PLOVER,Тулес,"The grey plover or black-bellied plover (Pluvialis squatarola) is a large plover breeding in Arctic regions. It is a long-distance migrant, with a nearly worldwide coastal distribution when not breeding.",Ту́лес (лат. Pluvialis squatarola) — птица семейства ржанковых (Charadriidae). Гнездится в арктической тундре.,,,,
263,GROVED BILLED ANI,"Бороздчатоклювый ани
","The groove-billed ani (Crotophaga sulcirostris) is a tropical bird in the cuckoo family with a long tail and a large, curved beak. It is a resident species throughout most of its range, from southern Texas, central Mexico and The Bahamas, through Central America, to northern Colombia and Venezuela, and coastal Ecuador and Peru. It only retreats from the northern limits of its range in Texas and northern Mexico during winter.","Бороздчатоклювый ани (лат. Crotophaga sulcirostris) — вид тропических птиц семейства кукушковых. Обитает в Северной и Южной Америках. Отличительной чертой этих птиц является большой изогнутый клюв.

Размер птицы варьируется около 30 см, весят они обычно 70—80 г. Оперение чёрное. Хвост очень длинный, может быть размером с саму птицу. Имеет большой клюв с горизонтальным бороздами.

Ани часто живут группами по четыре-пять птиц. Они защищают свою территорию вместе, откладывают яйца в одно общее гнездо, обычно в кроне дерева или колючего кустарника. В гнезде находили до 18 яиц, одна самка откладывает обычно 3—4. Все члены группы насиживают их и заботятся о молодняке, даже молодые помогают заботиться о птенцах.

На ночёвку ани могут собираться группой 35—40 птиц.

Бороздчатоклювый ани обитает на открытой местности, такой как пастбища, сады. На пастбищах часто следуют за домашним скотом, съедая вспугиваемых им насекомых, иногда также сопровождают бродячих муравьёв. Питаются они насекомыми и плодами.",,,,
264,GUINEA TURACO,Гвинейский турако,"The Guinea turaco (Tauraco persa), also known as the green turaco or green lourie, is a species of turaco, a group of otidimorphae birds belonging to the family Musophagidae. It was formerly included in the Livingstone's, Schalow's, Knysna, black-billed and Fischer's turacos as subspecies.","Гвинейский турако (лат. Tauraco persa) — тропическая птица из семейства тураковых. Распространён в равнинных и пойменных лесах Западной Африки от Сенегала к востоку до Демократической Республики Конго, к югу до северной Анголы. Как и все представители семейства тураковых, большую часть жизни проводит на деревьях, опускаясь на землю только для водопоя. Летает не очень хорошо, предпочитая карабкаться с ветки на ветку.",,,,
265,GUINEAFOWL,Цесарковые,"Guineafowl (/ˈɡɪnifaʊl/; sometimes called ""pet speckled hens"" or ""original fowl"") are birds of the family Numididae in the order Galliformes. They are endemic to Africa and rank among the oldest of the gallinaceous birds. Phylogenetically, they branched off from the core Galliformes after the Cracidae (chachalacas, guans, and curassows) and before the Odontophoridae (New World quail). An Eocene fossil lineage Telecrex has been associated with guineafowl; Telecrex inhabited Mongolia, and may have given rise to the oldest of the true phasianids, such as blood pheasants and eared pheasants, which evolved into high-altitude, montane-adapted species with the rise of the Tibetan Plateau. While modern guineafowl species are endemic to Africa, the helmeted guineafowl has been introduced as a domesticated bird widely elsewhere.","Цеса́рковые (лат. Numididae) — семейство птиц из отряда курообразных, обитающих в Африке и на Мадагаскаре. Один из представителей этого семейства, обыкновенная цесарка, одомашнена.",,,,
266,GURNEYS PITTA,Питта Герни,"Gurney's pitta (Hydrornis gurneyi) (Thai: นกแต้วแร้วท้องดำ) is a medium-sized passerine bird. It breeds in the Malay Peninsula, with populations mainly in Myanmar. The common name and Latin binomial commemorate the British banker and amateur ornithologist John Henry Gurney (1819-1890). Its diet consists of slugs, insects, and earthworms.",Пи́тта Герни (лат. Hydrornis gurneyi) — певчая птица из семейства питтовых. Обитает на севере Малайского полуострова на территории южной Бирмы и прилегающих районов южного Таиланда. Названа в честь английского орнитолога Джона Генри Герни. Птица питается слизнями и червями.,,,,
267,GYRFALCON,Кречет,"The gyrfalcon (/ˈdʒɜːrˌfɔː(l)kən/ or /ˈdʒɜːrˌfælkən/) (Falco rusticolus), the largest of the falcon species, is a bird of prey. The abbreviation gyr is also used. It breeds on Arctic coasts and tundra, and the islands of northern North America and the Eurosiberian region. It is mainly a resident there also, but some gyrfalcons disperse more widely after the breeding season, or in winter. Individual vagrancy can take birds for long distances. Its plumage varies with location, with birds being coloured from all-white to dark brown. These colour variations are called morphs. Like other falcons, it shows sexual dimorphism, with the female much larger than the male. For centuries, the gyrfalcon has been valued as a hunting bird. Typical prey includes the ptarmigan and waterfowl, which it may take in flight; it also takes fish and mammals.",Кре́чет (лат. Falco rusticolus) — птица из отряда соколообразных семейства соколиных.,,,,
268,HAMERKOP,Молотоглав,"The hamerkop (Scopus umbretta) is a medium-sized wading bird. It is the only living species in the genus Scopus and the family Scopidae. The species and family was long thought to sit with the Ciconiiformes but is now placed with the Pelecaniformes, and its closest relatives are thought to be the pelicans and the shoebill. The shape of its head with a long bill and crest at the back is reminiscent of a hammer, which has given this species its name after the Afrikaans word for hammerhead. It is a medium-sized waterbird with brown plumage. It is found in Africa, Madagascar and Arabia, living in a wide variety of wetlands, including estuaries, lakesides, fish ponds, riverbanks, and rocky coasts. The hamerkop is a sedentary bird that often shows local movements.

The hamerkop takes a wide range of prey, mostly fish and amphibians, but shrimps, insects and rodents are taken too. Prey is usually hunted in shallow water, either by sight or touch, but the species is adaptable and will take any prey it can. The species is renowned for its enormous nests, several of which are built during the breeding season. Unusually for a wading bird the nest has an internal nesting chamber where the eggs are laid. Both parents incubate the eggs, and raise the chicks.

The species is not globally threatened and is locally abundant in Africa and Madagascar, and the International Union for Conservation of Nature (IUCN) has assessed it as being of least concern.","Молотогла́в, или теневая птица (лат. Scopus umbretta) — птица из отряда пеликанообразных, выделяемая в отдельное семейство.",,,,
269,HARLEQUIN DUCK,Каменушка,"The harlequin duck (Histrionicus histrionicus) is a small sea duck. It takes its name from Harlequin (French Arlequin, Italian Arlecchino), a colourfully dressed character in Commedia dell'arte. The species name comes from the Latin word ""histrio"", meaning ""actor"". In North America it is also known as lords and ladies. Other names include painted duck, totem pole duck, rock duck, glacier duck, mountain duck, white-eyed diver, squeaker and blue streak.",Каменушка (лат. Histrionicus histrionicus) — вид птиц семейства утиных.,,,,
270,HARLEQUIN QUAIL,"Перепел-арлекин
","The harlequin quail (Coturnix delegorguei) is a species of bird in the family Phasianidae. It occurs in sub-Saharan Africa and in the Arabian Peninsula. The species is named after the collector, Adulphe Delegorgue.",Перепел-арлекин (лат. Coturnix delegorguei) — птица из трибы Coturnicini семейства фазановых (Phasianidae).,,,,
271,HARPY EAGLE,Южноамериканская гарпия,"The harpy eagle (Harpia harpyja) is a neotropical species of eagle. It is also called the American harpy eagle to distinguish it from the Papuan eagle, which is sometimes known as the New Guinea harpy eagle or Papuan harpy eagle. It is the largest and most powerful raptor found throughout its range, and among the largest extant species of eagles in the world. It usually inhabits tropical lowland rainforests in the upper (emergent) canopy layer. Destruction of its natural habitat has caused it to vanish from many parts of its former range, and it is nearly extirpated from much of Central America. In Brazil, the harpy eagle is also known as royal-hawk (in Portuguese: gavião-real). The genus Harpia, together with Harpyopsis and Morphnus, form the subfamily Harpiinae.",Южноамериканская гарпия (лат. Harpia harpyja) — вид хищных птиц из семейства ястребиных. Единственный вид своего рода. Некоторыми авторами считается крупнейшим по весу орлом в мире.,,,,
272,HAWAIIAN GOOSE,"Гавайская казарка
","The nene (Branta sandvicensis), also known as the nēnē or the Hawaiian goose, is a species of bird endemic to the Hawaiian Islands. The nene is exclusively found in the wild on the islands of Oahu, Maui, Kauaʻi, Molokai, and Hawaiʻi. In 1957, it was designated as the official state bird of the state of Hawaiʻi.

The Hawaiian name nēnē comes from its soft call. The specific name sandvicensis refers to the Sandwich Islands, a former name for the Hawaiian Islands.","Гавайская казарка или нене (англ. nēnē; Hawaiian goose, лат. Branta sandvicensis) — островная птица из семейства утиных (Anatidae), эндемик Гавайских островов. Практически не летает и не плавает, гнездится на земле, поэтому страдает от завезённых на острова хищников.",,,,
273,HAWFINCH,Обыкновенный дубонос,"The hawfinch (Coccothraustes coccothraustes) is a passerine bird in the finch family Fringillidae. It is the only species placed in the genus Coccothraustes. Its closest living relatives are the Chinese grosbeak (Eophona migratoria) and Japanese grosbeak (Eophona personata) of East Asia, and the evening grosbeak (Hesperiphona vespertina) and hooded grosbeak (Hesperiphona abeillei) of North America.

This bird breeds across Europe and temperate Asia (Palearctic). It is mainly resident in Europe, but many Asian birds migrate further south in the winter. It is a rare vagrant to the western islands of Alaska.

Deciduous or mixed woodland, including parkland, with large trees – especially hornbeam – is favoured for breeding. The hawfinch builds its nest in a bush or tree, and lays 2–7 eggs. The food is mainly seeds and fruit kernels, especially those of cherries, which it cracks with its powerful bill. This large finch species is usually seen in a pair or small group.

The 16.5–18 cm long hawfinch is a bulky bull-headed bird, which appears very short-tailed in flight. Its head is orange-brown with a black eyestripe and bib, and a massive bill, which is black in summer but paler in winter. The upper parts are dark brown and the underparts orange.",Обыкновенный дубонос (лат. Coccothraustes coccothraustes) — вид птиц из семейства вьюрковых (Fringillidae). Единственный представитель рода Coccothraustes.,,,,
274,HELMET VANGA,"Шлемоносная ванга
","The helmet vanga (Euryceros prevostii) is a distinctive-looking bird of the vanga family, Vangidae, and is classified in its own genus, Euryceros. It is mainly blue-black, with rufous wings and a huge arched blue bill. It is restricted to lowland and lower montane rainforests of northeastern Madagascar. Its diet is composed of invertebrates, predominantly insects. The species is threatened by habitat loss.","Шлемоносная ванга, или толстоклювая ванга (лат. Euryceros prevostii), — вид воробьиных птиц из семейства ванговых (Vangidae), единственный в одноимённом роде (Euryceros). Видовое название дано в честь французского натуралиста Флорана Прево (1794—1870).

Ближайшим родственником в семействе считается рыжая ванга (Schetba rufa), которые, как считают, разделились 800 тыс. лет назад.

Окраска в основном сине-чёрного цвета, с рыжими крыльями и огромным арочным синим наростом над клювом. Она распространена в низменных и горных тропических лесах на северо-востоке Мадагаскара.

Шлемоносная ванга большая птица, второй по величине вид ванговых после серпоклювой ванги (Falculea palliata). В длину она достигает 28—31 см, а массы — 84—114 г. Наиболее отличительной особенностью является массивный загнутый клюв, достигающий 51 мм в длину и 30 мм в ширину.

Он распространён в низменностях и горных тропических лесах на северо-востоке Мадагаскара. Ареал вида включает национальные парки Марудзедзи, Масуала и Андасибе-Мантадиа.

Взрослые, в основном, едят крупных насекомых, но рацион молодых птиц в гнезде может быть более разнообразным, включая улиток, ящериц, пауков и крабов.

Вид моногамный. Сезон размножения длится с октября по январь на полуострове Масуала. Оба пола строят гнездо, которое имеет форму чашки диаметром 15 см, построенное из переплетённых волокон растений, мхов и ветвей, и находится на деревьях на высоте 2—4 м от земли. В кладке два-три розово-белых яйца.",,,,
275,HEPATIC TANAGER,Красная пиранга,"The hepatic tanager (Piranga flava) is a medium-sized American songbird. Formerly placed in the tanager family (Thraupidae), it and other members of the genus Piranga are now classified in the cardinal family (Cardinalidae). The species's plumage and vocalizations are similar to other members of the cardinal family.","Красная пиранга (лат. Piranga flava) — вид птиц семейства кардиналовых. Ранее род пиранги (лат. Piranga) относился к семейству танагровых, но из-за схожести оперения и вокализации с птицами из семейства кардиналовых им изменили классификацию. Занесён в Красную книгу МСОП как вид, вызывающий наименьшие опасения (LC).

Название на латинском языке указывает на цвет оперения жёлтого или золотистого оттенка. Поведение красной пиранги схоже с поведением красноголовой пиранги.

Ареал простирается от юго-западной части США — штаты Аризона, Нью-Мексико, а также юг штатов Калифорния и Колорадо до северной Аргентины.

Существуют три группы подвидов красной пиранги, которые могут быть отдельными видами: Piranga hepatica — обитает на севере Никарагуа в сосновых и сосново-дубовых лесах, Piranga lutea — обитает на территории от Коста-Рики до северо-западной части Южной Америки в горных лесных опушках и Piranga flava — обитает на территории Южной Америки в открытых лесах.

Птицы северного подвида больше и коренастей остальных подвидов. Они имеют относительно короткий хвост и толстый клюв с обязательным ярким оперением на лбу и горле; у них серые бока, темноватые щёки и тёмные глаза. Оперение самки жёлтых оттенков, а самца красных. Средняя масса составляет 38 грамм. Средний размах крыльев 31,8 сантиметров. Длина птицы составляет 20,3 сантиметров. Свист у птицы низкий и звучит как «чуп». Пение ясное. Свист при полёте хриплый и растущий и звучит как «уип».

Пищу ищет в листве деревьев, двигаясь медленно и методично; разные особи используют разные стратегии. В летний период рацион северного подвида в значительной степени состоит из насекомых, пауков и некоторых фруктов. В Мексике наблюдалось употребление ими нектара. На юге штата Оахака они охотятся за стаями кочевых муравьев. Привычки и поведение северного подвида до сих пор до конца не исследованы.",,,,
276,HIMALAYAN BLUETAIL,Гималайский синехвост,"The Himalayan bluetail (Tarsiger rufilatus), also called the Himalayan red-flanked bush-robin or orange-flanked bush-robin, is a small passerine bird that was formerly classed as a member of the thrush family Turdidae, but is now more generally considered to be an Old World flycatcher of Muscicapidae. While currently under review, this taxon is not current recognized as a species by BirdLife international.

It is closely related to the red-flanked bluetail and was generally treated as a subspecies of it in the past, but as well as differing in its migratory behaviour (the red-flanked bluetail is a long-distance migrant), it also differs in the more intense blue colour of the adult males and the greyer colour of the females and juveniles.","Гималайский синехвост ( Tarsiger rufilatus ), также называемый гималайской краснобокой малиновкой или малиновкой с оранжевыми боками ,  представляет собой небольшую воробьиную птицу , которая ранее относилась к семейству дроздов Turdidae, но теперь обычно считается мухоловкой Muscicapidae Старого Света . Хотя в настоящее время этот таксон находится на рассмотрении, он в настоящее время не признан видом BirdLife International. 

Он тесно связан с краснобоким синехвостом и обычно рассматривался как его подвид в прошлом, но помимо различий в миграционном поведении (краснобокий синехвост — дальний мигрант), он также отличается более интенсивный синий цвет взрослых самцов и более серый цвет самок и молодых особей.  ",,,,
277,HIMALAYAN MONAL,Гималайский монал,"The Himalayan monal (Lophophorus impejanus), also called Impeyan monal and Impeyan pheasant, is a pheasant native to Himalayan forests and shrublands at elevations of 2,100–4,500 m (6,900–14,800 ft). It is part of the family Phasianidae and is listed as Least Concern on the IUCN Red List. It is the national bird of Nepal, where it is known as the danphe or danfe, and state bird of Uttarakhand, India, where it is known as monal. The scientific name commemorates Lady Mary Impey, the wife of the British chief justice of Bengal, Sir Elijah Impey.",Гимала́йский мона́л (лат. Lophophorus impejanus) — птица семейства фазановых.,,,,
278,HOATZIN,Гоацин,"The hoatzin (/hoʊˈætsɪn/ hoh-AT-sin) or hoactzin (/hoʊˈæktsɪn/ hoh-AKT-sin) (Opisthocomus hoazin) is a species of tropical bird found in swamps, riparian forests, and mangroves of the Amazon and the Orinoco basins in South America. It is the only extant species in the genus Opisthocomus which is the only extant genus in the Opisthocomidae family under the order of Opisthocomiformes. The taxonomic position of this family has been greatly debated by specialists, and is still far from clear.

It is notable for having chicks that have claws on two of their wing digits.","Гоаци́н (лат. Opisthocomus hoazin) — , единственный вид в одноимённом роде (Opisthocomus) из семейства гоаци́новых (Opisthocomidae) отряда гоацинообра́зных (Opisthocomiformes).",,,,
279,HOODED MERGANSER,Хохлатый крохаль,"The hooded merganser (Lophodytes cucullatus) is a species of fish-eating duck in the subfamily Anatinae. It is the only extant species in the genus Lophodytes. The genus name derives from the Greek language: lophos meaning 'crest', and dutes meaning 'diver'. The bird is striking in appearance; both sexes have crests that they can raise or lower, and the breeding plumage of the male is handsomely patterned and coloured. The hooded merganser has a sawbill but is not classified as a typical merganser.

Hooded mergansers are the second-smallest species of merganser, with only the smew of Europe and Asia being smaller, and it also is the only merganser whose native habitat is restricted to North America.

A species of fossil merganser from the Late Pleistocene of Vero Beach, Florida, was described as Querquedula floridana (a genus now included in Anas), but upon reexamination turned out to be a species closely related to the hooded merganser; it is now named Lophodytes floridanus, but the exact relationship between this bird and the modern species is unknown.",Хохлатый крохаль (лат. Lophodytes cucullatus) — птица семейства утиные.,,,,
280,HOOPOES,Удоды,"Hoopoes (/ˈhuːpuː/) are colourful birds found across Africa, Asia, and Europe, notable for their distinctive ""crown"" of feathers. Three living and one extinct species are recognized, though for many years all of the extant species were lumped as a single species—Upupa epops. In fact, some taxonomists still consider all three species conspecific. Some authorities also keep the African and Eurasian hoopoe together but split the Madagascar hoopoe. The Eurasian hoopoe is common in its range and has a large population, so it is evaluated as Least Concern on The IUCN Red List of Threatened Species. However, their numbers are declining in Western Europe. Conversely, the hoopoe has been increasing in numbers at the tip of the South Sinai, Sharm el-Sheikh. There are dozens of nesting pairs that remain resident all year round.","Удоды (лат. Upupa) — род ярко окрашенных птиц, единственный в семействе удодовых (Upupidae). Обитают в Африке, Азии и Европе, известные своим отличительным «хохлом» или «короной» из перьев на голове. В род включают три ныне существующих и один вымерший вид, хотя в течение многих лет все сохранившиеся виды считались одним видом — Upupa epops. Фактически, некоторые систематики до сих пор считают все три вида подвидами одного вида. Некоторые учёные также считают африканского и евразийского удодов одним видом, но выделяют мадагаскарского удода в отдельный вид.",,,,
281,HORNED GUAN,Рогатый гуань,"The horned guan (Oreophasis derbianus) is a large, turkey-like bird native to Central America. It is the only species in the genus Oreophasis.","Рогатый гуань ( Oreophasis derbianus ) — крупная птица, похожая на индюка , родом из Центральной Америки . Это единственный вид рода Oreophasis .",,,,
282,HORNED LARK,Рогатый жаворонок,"The horned lark or shore lark (Eremophila alpestris) is a species of lark in the family Alaudidae found across the northern hemisphere. It is known as ""horned lark"" in North America and ""shore lark"" in Europe.","Рогатый жаворонок, или обыкновенный рогатый жаворонок, или рюм (лат. Eremophila alpestris), — вид воробьиных птиц из семейства жаворонковых (Alaudidae).",,,,
283,HORNED SUNGEM,Рогатый колибри,"The horned sungem (Heliactin bilophus) is a species of hummingbird in the subfamily Polytminae, the mangoes. It occurs in Bolivia, Brazil, and Suriname.","Рогатый колибри (лат. Heliactin bilophus) — птица из семейства колибри (Trochilidae), единственный представитель рода рогатых колибри (Heliactin).",,,,
284,HOUSE FINCH,Мексиканская чечевица,The house finch (Haemorhous mexicanus) is a bird in the finch family Fringillidae. It is native to western North America and has been introduced to the eastern half of the continent and Hawaii. This species and the other two American rosefinches are placed in the genus Haemorhous.,"Мексиканская чечевица (лат. Carpodacus mexicanus, также Haemorhous mexicanus) — птица семейства вьюрковых. Известно более десяти подвидов, распространённых в Северной Америке вплоть до южных районов Канады; также завезены на Гавайские острова.",,,,
285,HOUSE SPARROW,Домовый воробей,"The house sparrow (Passer domesticus) is a bird of the sparrow family Passeridae, found in most parts of the world. It is a small bird that has a typical length of 16 cm (6.3 in) and a mass of 24–39.5 g (0.85–1.39 oz). Females and young birds are coloured pale brown and grey, and males have brighter black, white, and brown markings. One of about 25 species in the genus Passer, the house sparrow is native to most of Europe, the Mediterranean Basin, and a large part of Asia. Its intentional or accidental introductions to many regions, including parts of Australasia, Africa, and the Americas, make it the most widely distributed wild bird.","Домо́вый воробе́й (лат. Passer domesticus) — наиболее распространённый вид из рода настоящих воробьёв (Passer) семейства воробьиных (Passeridae). Одна из самых известных птиц, обитающая по соседству с жилищем человека (отсюда её видовое название «домовый») и хорошо узнаваемая как по внешнему виду, так и по характерному чириканью.",,,,
286,HYACINTH MACAW,Гиацинтовый ара,"The hyacinth macaw (Anodorhynchus hyacinthinus), or hyacinthine macaw, is a parrot native to central and eastern South America. With a length (from the top of its head to the tip of its long pointed tail) of about one meter it is longer than any other species of parrot. It is the largest macaw and the largest flying parrot species; the flightless kākāpō of New Zealand outweighs it at up to 3.5 kg. While generally easily recognized, it could be confused with the smaller Lear's macaw. Habitat loss and the trapping of wild birds for the pet trade have taken a heavy toll on their population in the wild, so the species is classified as Vulnerable on the International Union for Conservation of Nature's Red List, and it is protected by its listing on Appendix I of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES).",Гиацинтовый ара (лат. Anodorhynchus hyacinthinus) — птица семейства попугаевых.,,,,
287,IBERIAN MAGPIE,Пиренейская сорока,The Iberian magpie (Cyanopica cooki) is a bird in the crow family. It is 31–35 cm (12–14 in) long and similar in overall shape to the Eurasian magpie (Pica pica) but is more slender with proportionately smaller legs and bill. It belongs to the genus Cyanopica.,"Пиренейская сорока ( Cyanopica cooki ) — птица семейства вороньих . Он имеет длину 31–35 см (12–14 дюймов) и в целом похож на евразийскую сороку ( Pica pica ), но более стройный, с пропорционально меньшими ногами и клювом . Относится к роду Cyanopica .",,,,
288,IBISBILL,Серпоклюв,"The ibisbill (Ibidorhyncha struthersii) is a bird related to the waders, but sufficiently distinctive to merit its own family Ibidorhynchidae. It is grey with a white belly, red legs and long down-curved bill, and a black face and black breast band. It occurs on the shingle riverbanks of the high plateau of central Asia and the Himalayas.","Серпоклю́в (лат. Ibidorhyncha struthersii) — вид птиц отряда ржанкообразных, единственный вид рода серпоклювы (Ibidorhyncha), выделяемый в монотипическое семейство Ibidorhynchidae.",,,,
289,IMPERIAL SHAQ,Императорский баклан,"The imperial shag or imperial cormorant (Leucocarbo atriceps) is a black and white cormorant native to southern South America, primarily in rocky coastal regions, but locally also at large inland lakes. Some taxonomic authorities, including the International Ornithologists' Union, place it in the genus Leucocarbo, others in the genus Phalacrocorax. It is also known as the blue-eyed shag, blue-eyed cormorant and by many other names, and is one of a larger group of cormorants called blue-eyed shags. The taxonomy is very complex, and several former subspecies are often considered separate species.","Императорский баклан или имперский баклан ( Leucocarbo atriceps ) — это черно-белый баклан , обитающий в южной части Южной Америки , в основном в скалистых прибрежных районах, но иногда и в крупных внутренних озерах. Некоторые таксономические органы, в том числе Международный союз орнитологов , относят его к роду Leucocarbo , другие — к роду Phalacrocorax . Он также известен как голубоглазый баклан , голубоглазый баклан и многими другими именами, и является одним из большей группы бакланов, называемых голубоглазыми бакланами . таксономия очень сложна, и несколько бывших подвидов часто считаются отдельными видами.",,,,
290,INCA TERN,Крачка-инка,"The Inca tern (Larosterna inca) is a Near Threatened species of bird in subfamily Sterninae of the family Laridae, the gulls, terns, and skimmers. It is found in Chile, Ecuador, and Peru and has wandered to Central America and Hawaii.","Крачка-инка, или крачка инков (лат. Larosterna inca) — вид птиц из семейства чайковых (Laridae), единственный в роде крачек инков (Larosterna), обитающая на тихоокеанском побережье Южной Америки.",,,,
291,INDIAN BUSTARD,Индийская большая дрофа,"The great Indian bustard (Ardeotis nigriceps) or Indian bustard, is a bustard found on the Indian subcontinent. A large bird with a horizontal body and long bare legs, giving it an ostrich like appearance, this bird is among the heaviest of the flying birds. Once common on the dry plains of the Indian subcontinent, as few as 150 individuals were estimated to survive in 2018 (reduced from an estimated 250 individuals in 2011) and the species is critically endangered by hunting and loss of its habitat, which consists of large expanses of dry grassland and scrub. These birds are often found associated in the same habitat as blackbuck. It is protected under the Wild life Protection Act, 1972 of the Parliament of India.",Индийская большая дрофа (лат. Ardeotis nigriceps) — птица из семейства Дрофиные.,,,,
